country,isonum,isocode,rank_soci2007,rank_soci2008,rank_soci2009,rank_soci2010,rank_soci2011,rank_soci2012,rank_soci2013,rank_soci2014,rank_soci2015,rank_soci2016,soci2007,soci2008,soci2009,soci2010,soci2011,soci2012,soci2013,soci2014,soci2015,soci2016
Pakistan,586,PAK,146,147,145,109,136,121,117,139,137,137,35.094547271728516,34.882389068603516,37.655113220214844,44.392730712890625,40.43818283081055,42.66545867919922,44.43531799316406,40.61713790893555,42.2989501953125,42.2989501953125
Panama,591,PAN,33,33,47,42,53,31,28,37,26,26,55.06621170043945,53.6571159362793,52.43397903442383,53.29761505126953,51.979434967041016,55.979434967041016,56.7976188659668,56.201385498046875,57.70138931274414,57.70138931274414
Peru,604,PER,86,83,97,93,105,94,94,105,69,69,47.601226806640625,47.91940689086914,45.783050537109375,46.601226806640625,44.93336486816406,46.25154495239258,46.93336486816406,45.978816986083984,50.34245681762695,50.34245681762695
Philippines,608,PHL,26,20,26,20,18,14,19,21,21,21,56.423274993896484,58.105098724365234,56.150550842285156,59.021915435791016,60.249183654785156,62.021915435791016,60.11955261230469,59.846824645996094,59.5740966796875,59.5740966796875
Poland,616,POL,81,75,75,58,85,68,97,68,85,85,48.176368713378906,49.40364456176758,48.858184814453125,51.676361083984375,47.678184509277344,49.86000061035156,46.63273239135742,50.54181671142578,48.36000061035156,48.36000061035156
Portugal,620,PRT,62,57,45,63,65,44,42,40,42,42,51.057273864746094,51.057273864746094,52.621822357177734,51.07636260986328,50.27409362792969,53.910457611083984,54.137725830078125,55.410457611083984,54.8650016784668,54.8650016784668
Paraguay,600,PRY,70,72,87,57,24,33,57,93,76,76,49.93717956542969,49.542362213134766,47.26963806152344,51.72418212890625,57.406002044677734,55.315093994140625,51.492183685302734,46.85581970214844,49.35581970214844,49.35581970214844
Qatar,634,QAT,31,25,21,24,27,26,25,36,36,36,55.59090805053711,55.59090805053711,57.27273178100586,56.90909194946289,56.772727966308594,57.227272033691406,57.227272033691406,56.50000762939453,56.50000762939453,56.50000762939453
Romania,642,ROU,128,136,132,137,127,115,121,114,97,97,41.43566131591797,40.60182189941406,41.10182189941406,40.64727783203125,41.60182189941406,43.62145233154297,43.98508834838867,45.303279876708984,47.57600402832031,47.57600402832031
Russia,643,RUS,115,132,129,120,129,134,136,119,116,116,42.9816780090332,41.02713394165039,41.572593688964844,43.25440979003906,41.23045349121094,41.32136535644531,42.0031852722168,44.50318145751953,45.366817474365234,45.366817474365234
Rwanda,646,RWA,136,135,126,130,125,100,75,81,99,99,40.58036422729492,40.61249923706055,41.703407287597656,41.47954559326172,41.93408966064453,44.888641357421875,49.344547271728516,48.16272735595703,47.3900032043457,47.3900032043457
Saudi Arabia,682,SAU,67,101,81,70,89,86,44,56,45,45,50.3636360168457,45.04545211791992,47.909088134765625,50.1363639831543,46.95454788208008,48.000003814697266,53.772727966308594,52.590911865234375,54.40909194946289,54.40909194946289
Serbia,688,SCG,133,133,134,131,126,110,130,122,127,127,40.932411193847656,40.96432113647461,40.96432113647461,41.32795715332031,41.73704528808594,43.95423126220703,43.18149948120117,44.17186737060547,44.03550338745117,44.03550338745117
